region,count_apps,avg_apps_BS,avg_apps_M,count_apps_enr,count_text,count_apps_enr_budg,count_apps_enr_plat,avg_apps_enr_BS,avg_apps_enr_M,min_apps_enr_BS,min_apps_enr_M,count_apps_pers,pers_procent,count_apps_ourAch,count_apps_enr_ourAch,ourAch_procent
"Саха /Якутия/",130,197.20,37.14,11,"от 10 до 20",4,7,205.13,47.67,159.00,28.00,6,4.62,0,0,0.00
Сахалинская,72,196.23,74.33,7,"менее 10",4,3,209.40,75.50,161.00,72.00,4,5.56,5,1,20.00
Свердловская,329,211.37,36.81,24,"от 20 до 30",22,2,214.78,60.50,156.00,14.00,4,1.22,10,1,10.00
"Северная Осетия - Алания",55,205.00,0.00,3,"менее 10",3,0,192.67,0.00,163.00,0.00,0,0.00,0,0,0.00
Смоленская,142,209.29,66.14,14,"от 10 до 20",12,2,205.09,57.00,174.00,21.00,21,14.79,0,0,0.00
Ставропольский,343,210.88,37.86,23,"от 20 до 30",22,1,206.71,64.11,153.00,16.00,16,4.66,0,0,0.00
Тамбовская,54,192.02,13.50,2,"менее 10",1,1,215.00,18.00,215.00,18.00,2,3.70,0,0,0.00
Татарстан,288,208.82,58.00,14,"от 10 до 20",13,1,217.46,66.00,171.00,66.00,21,7.29,0,0,0.00
Тверская,235,204.07,46.00,11,"от 10 до 20",9,2,191.00,50.17,169.00,27.00,28,11.91,0,0,0.00
Томская,64,199.29,36.00,3,"менее 10",2,1,211.00,36.00,208.00,36.00,0,0.00,5,0,0.00
Тульская,105,202.79,26.00,6,"менее 10",3,3,220.20,38.00,180.00,38.00,14,13.33,0,0,0.00
Тыва,12,118.83,0.00,0,"менее 10",0,0,0.00,0.00,0.00,0.00,0,0.00,0,0,0.00
Тюменская,92,190.99,64.00,2,"менее 10",2,0,169.00,68.00,169.00,68.00,0,0.00,0,0,0.00
Удмуртская,173,215.01,0.00,7,"менее 10",6,1,217.43,0.00,176.00,0.00,9,5.20,0,0,0.00
Ульяновская,50,196.18,0.00,2,"менее 10",2,0,183.50,0.00,182.00,0.00,10,20.00,0,0,0.00
Хабаровский,158,212.56,0.00,4,"менее 10",3,1,215.25,0.00,199.00,0.00,5,3.16,0,0,0.00
Хакасия,24,200.59,50.00,2,"менее 10",2,0,199.00,50.00,199.00,50.00,0,0.00,0,0,0.00
"Ханты-Мансийский автономный округ - Югра",380,208.62,28.25,18,"от 10 до 20",13,5,220.18,63.00,158.00,63.00,11,2.89,0,0,0.00
Челябинская,306,201.58,51.69,19,"от 10 до 20",15,4,215.27,56.00,153.00,34.00,33,10.78,0,0,0.00
Чеченская,5,147.00,0.00,0,"менее 10",0,0,0.00,0.00,0.00,0.00,0,0.00,0,0,0.00
"Чувашская Республика - Чувашия",119,209.77,0.00,3,"менее 10",3,0,226.00,0.00,203.00,0.00,5,4.20,0,0,0.00
Чукотский,23,224.33,22.50,5,"менее 10",2,3,218.00,22.50,155.00,20.00,0,0.00,0,0,0.00
Ямало-Ненецкий,136,176.15,0.00,10,"от 10 до 20",5,5,188.40,0.00,146.00,0.00,14,10.29,0,0,0.00
Ярославская,120,222.23,31.67,9,"менее 10",4,5,219.00,51.00,181.00,38.00,8,6.67,0,0,0.00
