Округ,Регион,Город,Предприятие,Кол-во зачисленных
Сибирский федеральный округ,Красноярский край,Красноярск,"Публичное Акционерное Общество ""РУСАЛ""",
Сибирский федеральный округ,Красноярский край,Красноярск,"Общество с Ограниченной Ответственностью ""Красноярский металлургический завод""",
Сибирский федеральный округ,Красноярский край,Красноярск,"Акционерное Общество ""Красноярский Машиностроительный Завод""",
Сибирский федеральный округ,Красноярский край,Красноярск,"Открытое Акционерное Общество ""КрасЦветМет""",
Центральный федеральный округ,Калужская область,Калуга,"ООО ""Беспилотные Системы""",
Центральный федеральный округ,Калужская область,Калуга,"АО ""Тайфун""",
Центральный федеральный округ,Калужская область,г. Таруса,ООО «Конструкторское бюро интегрированных систем» (КБИС),
Центральный федеральный округ,Калужская область,г. Козельск,ПАО «Козельский механический завод»,
Центральный федеральный округ,Калужская область,г. Жуков,"АО ""Книрти""",
Южный федеральный округ,Волгоградская область,г. Волжский,"ООО ПКФ ""КРОНТЕХ""",
Южный федеральный округ,Волгоградская область,г. Волгоград,ПКФ Альтернатива,
Южный федеральный округ,Волгоградская область,г. Волжский,Нижне-волжский Трубный завод,
Уральский федеральный округ,Свердловская область,Екатеринбург,"ООО ""УРАЛШИНА""",
Уральский федеральный округ,Свердловская область,Екатеринбург,"ОАО ""СЗТТ""",
