Округ,Регион,Город,Предприятие,Кол-во зачисленных
Центральный федеральный округ,Воронежская область,Воронеж,Воронежское Акционерное Самолётостроительное Общество,
Центральный федеральный округ,Воронежская область,Воронеж,"Закрытое Акционерное Общество ""Воронежский мостовой завод""",
Южный федеральный округ,Волгоградская область,г. Волгоград,"Открытое Акционерное Общество ""Тракторная компания ""ВгТЗ""",
Южный федеральный округ,Волгоградская область,г. Волгоград,"Акционерное Общество ""Центральное конструкторское бюро ""Титан""",
Южный федеральный округ,Волгоградская область,г. Волгоград,"Открытое Акционерное Общество ""Волгоградский завод тракторных деталей и нормалей""",
Центральный федеральный округ,Тульская область,Тула,"Открытое Акционерное Общество ""АК""ТулаМашЗавод""",
Центральный федеральный округ,Тульская область,Тула,"Акционерное Общество ""Газстройдеталь""",
Центральный федеральный округ,Тульская область,Тула,"Закрытое Акционерное Общество ""Тулажелдормаш""",
Центральный федеральный округ,Тульская область,Тула,"Акционерное Общество ""Научно-производственное объединение ""СПЛАВ""",
Центральный федеральный округ,Тульская область,Тула,"Открытое Акционерное Общество ""Тулачермет""",
Сибирский федеральный округ,Томская область,Томск,"Открытое Акционерное Общество ""Сибэлектромотор""",
Сибирский федеральный округ,Томская область,Томск,"Открытое Акционерное Общество ""Манотомь""",
Сибирский федеральный округ,Томская область,Томск,"Закрытое Акционерное Общество ""Сибкабель""",
Сибирский федеральный округ,Томская область,Томск,"Открытое Акционерное Общество ""Томский электромеханический завод им. В.В. Вахрушева""",
Сибирский федеральный округ,Томская область,Томск,"Акционерное общество ""Научно-производственная фирма ""Микран""",
Сибирский федеральный округ,Иркутская область,Иркутск,"Открытое Акционерное Общество ""Иркутский завод тяжелого машиностроения""",
Сибирский федеральный округ,Иркутская область,Иркутск,"Иркутский авиационный завод ""Иркут""",
Сибирский федеральный округ,Иркутская область,Иркутск,"Общество с Ограниченной Ответственностью ""СпецТехМаш""",
Сибирский федеральный округ,Иркутская область,Иркутск,Иркутский Ремонтно-механический завод,
Приволжский федеральный округ ,Республика Татарстан,Набережные челны,ООО Теталит ,
Приволжский федеральный округ ,Республика Татарстан,Набережные челны,Камский завод метизов,
Приволжский федеральный округ ,Республика Татарстан,Набережные челны,Набережночелнинский трубный завод «ТЭМ-ПО»,
Приволжский федеральный округ ,Республика Татарстан,Набережные челны,Камский автомобильный завод (КамАЗ),
